ExternalRiskEstimate,NetFractionRevolvingBurden,AverageMInFile,PercentInstallTrades,NumSatisfactoryTrades,RiskPerformance
55,33,84,43,20,0
61,0,41,67,2,0
67,53,24,44,9,0
66,72,73,57,28,0
81,51,132,25,12,0
59,62,78,47,31,0
54,89,37,58,25,1
68,28,65,44,17,1
59,68,138,26,24,0
61,31,36,26,19,0
82,15,47,31,16,1
50,84,76,20,12,0
74,18,66,39,23,0
69,13,117,8,11,1
63,71,77,36,34,0
61,62,68,33,14,0
62,25,59,58,16,0
89,3,147,10,10,0
65,31,26,25,15,0
57,44,73,48,27,0
72,49,83,41,22,0
72,43,53,27,29,1
65,14,45,20,20,0
64,24,55,50,19,0
58,63,79,48,25,0
58,79,72,45,18,0
79,28,94,29,17,0
66,19,107,53,15,0
71,5,62,33,15,1
54,62,49,27,9,0
68,15,44,67,39,0
75,53,66,21,19,1
67,31,37,42,23,0
88,1,92,7,13,1
51,79,96,56,22,0
70,51,57,13,23,0
65,52,37,13,14,0
78,7,13,64,11,0
86,0,90,62,13,1
90,1,73,62,11,1
76,37,74,38,33,0
70,42,20,20,19,0
73,79,100,23,40,0
72,42,95,38,41,0
83,22,118,31,29,1
87,12,111,40,26,1
55,97,59,53,19,0
65,63,97,32,44,0
78,57,91,41,15,0
79,20,77,36,35,1
75,88,92,27,21,0
70,74,96,30,20,0
78,10,74,49,42,0
75,57,124,39,22,0
76,32,54,40,14,0
72,60,62,18,10,0
55,79,69,27,12,0
74,45,123,25,24,0
63,37,62,29,11,0
81,24,66,62,34,0
59,63,79,50,38,0
66,36,81,39,43,0
72,66,60,52,21,0
73,27,94,18,38,1
86,0,122,72,17,0
73,34,89,21,19,1
78,22,63,40,35,1
65,49,37,38,20,0
75,17,38,78,8,0
84,33,109,50,8,1
75,17,94,35,39,1
60,28,141,50,9,1
68,85,54,65,29,1
67,59,44,33,15,0
71,37,73,4,22,0
50,32,91,32,23,0
62,40,99,80,5,0
70,78,75,30,16,0
58,81,79,53,14,0
88,17,82,40,20,1
65,80,48,42,40,0
74,37,78,37,26,0
78,22,95,13,23,0
74,44,110,57,41,1
77,46,103,36,39,1
67,63,79,37,25,0
56,83,32,17,11,1
88,0,103,57,13,1
75,43,59,36,21,0
66,42,69,33,17,0
81,36,91,39,20,1
71,87,95,75,24,0
69,37,43,43,5,0
74,36,91,29,13,1
56,101,109,21,27,0
65,49,89,52,23,0
92,7,154,47,14,1
91,2,108,64,10,1
73,6,90,32,19,1
66,58,80,69,14,0
87,1,59,54,26,0
63,77,40,43,5,0
78,4,65,46,26,1
75,13,105,45,11,0
68,5,110,31,24,1
61,53,96,63,24,0
63,55,79,47,16,0
69,94,109,31,11,0
49,37,48,35,10,0
74,61,69,48,26,0
65,51,95,29,15,0
80,16,91,29,15,0
61,80,41,50,9,0
57,57,79,58,23,0
59,75,81,50,13,0
71,48,94,14,6,0
86,3,85,38,33,1
83,17,62,11,28,1
59,38,89,38,29,0
59,93,50,75,11,0
55,56,81,33,19,1
75,31,97,13,23,1
78,0,16,67,3,0
65,1,4,33,3,1
80,4,106,37,28,1
70,16,73,67,20,0
59,98,82,67,20,0
57,12,72,73,34,0
77,26,55,63,31,0
65,81,24,27,11,0
67,66,46,33,8,0
73,54,77,36,25,0
73,40,113,23,27,0
77,41,93,36,46,0
61,97,118,50,34,0
86,3,135,36,14,1
66,66,36,26,34,1
64,48,108,36,33,0
79,18,100,43,35,1
76,42,84,71,21,1
85,1,120,39,36,1
75,85,69,42,12,0
72,40,65,42,25,0
71,43,68,21,32,0
89,3,75,0,14,1
50,42,99,38,24,0
70,69,69,62,24,1
69,6,57,71,15,0
62,67,93,24,29,1
87,3,67,55,22,1
65,17,64,34,30,1
66,58,33,33,23,0
81,19,93,16,37,1
65,11,74,45,27,1
65,13,55,33,24,1
85,11,87,38,28,1
67,18,58,56,31,1
92,11,120,35,14,1
66,83,123,40,5,0
62,13,59,81,15,0
69,16,56,55,17,1
83,5,151,40,10,0
57,93,67,50,8,0
66,45,125,48,38,0
66,80,145,27,34,0
64,52,94,54,26,0
81,29,104,68,18,1
63,38,85,24,35,1
66,105,77,42,23,0
61,56,145,27,32,0
85,12,74,50,10,1
72,34,57,74,45,1
85,17,72,25,8,1
78,6,106,56,25,0
86,26,112,57,18,1
70,39,67,57,19,1
82,25,103,47,16,1
75,34,117,42,40,1
66,80,40,33,9,1
67,44,48,61,17,0
64,29,52,38,22,0
67,91,38,57,7,0
81,8,54,25,35,1
80,8,129,20,20,1
84,20,85,38,11,1
88,0,93,53,19,1
82,33,92,17,12,1
60,16,73,28,35,0
60,0,67,58,18,0
